"ID","BulletinID","KBID","IsInstalled","Severity","SeverityText","Title","InformationURL","CVEIDs","Categories"
"4338823","","4338823","False","3","Important","2018-07 Security Only Quality Update for Windows 7 for x64-based Systems (KB4338823)","http://support.microsoft.com/help/4338823","","Security Updates Windows 7"
"4103712","","4103712","False","4","Critical","2018-05 Security Only Quality Update for Windows 7 for x64-based Systems (KB4103712)","http://support.microsoft.com/help/4103712","","Security Updates Windows 7"
"4054518","","4054518","False","4","Critical","2017-12 Security Monthly Quality Rollup for Windows 7 for x64-based Systems (KB4054518)","http://support.microsoft.com/help/4054518","","Security Updates Windows 7"
"4048960","","4048960","False","3","Important","2017-11 Security Only Quality Update for Windows 7 for x64-based Systems (KB4048960)","http://support.microsoft.com/help/4048960","","Security Updates Windows 7"
"4093108","","4093108","False","4","Critical","2018-04 Security Only Quality Update for Windows 7 for x64-based Systems (KB4093108)","http://support.microsoft.com/help/4093108","","Security Updates Windows 7"
"4054521","","4054521","False","3","Important","2017-12 Security Only Quality Update for Windows 7 for x64-based Systems (KB4054521)","http://support.microsoft.com/help/4054521","","Security Updates Windows 7"
"4343899","","4343899","False","4","Critical","2018-08 Security Only Quality Update for Windows 7 for x64-based Systems (KB4343899)","http://support.microsoft.com/help/4343899","","Security Updates Windows 7"
"4480960","","4480960","False","3","Important","2019-01 Security Only Quality Update for Windows 7 for x64-based Systems (KB4480960)","http://support.microsoft.com/help/4480960","","Security Updates Windows 7"
"4471981","","4471981","False","3","Important","2018-12 Security Only Update for .NET Framework 3.5.1; 4.5.2; 4.6; 4.6.1; 4.6.2; 4.7; 4.7.1; 4.7.2 for Windows 7 and Server 2008 R2 for x64 (KB4471981)","http://support.microsoft.com/kb/4471981","","Security Updates Windows 7"
"4486564","","4486564","False","4","Critical","2019-02 Security Only Quality Update for Windows 7 for x64-based Systems (KB4486564)","http://support.microsoft.com/help/4486564","","Security Updates Windows 7"
"4487121","","4487121","False","3","Important","2019-02 Security Only Update for .NET Framework 3.5.1; 4.5.2; 4.6; 4.6.1; 4.6.2; 4.7; 4.7.1; 4.7.2 for Windows 7 and Server 2008 R2 for x64 (KB4487121)","http://support.microsoft.com/kb/4487121","","Security Updates Windows 7"
"4471328","","4471328","False","3","Important","2018-12 Security Only Quality Update for Windows 7 for x64-based Systems (KB4471328)","http://support.microsoft.com/help/4471328","","Security Updates Windows 7"
"4457145","","4457145","False","4","Critical","2018-09 Security Only Quality Update for Windows 7 for x64-based Systems (KB4457145)","http://support.microsoft.com/help/4457145","","Security Updates Windows 7"
"4345679","","4345679","False","3","Important","2018-08 Security Only Update for .NET Framework 3.5.1; 4.5.2; 4.6; 4.6.1; 4.6.2; 4.7; 4.7.1; 4.7.2 for Windows 7 and Server 2008 R2 for x64 (KB4345679)","http://support.microsoft.com/kb/4345679","","Security Updates Windows 7"
"4467106","","4467106","False","4","Critical","2018-11 Security Only Quality Update for Windows 7 for x64-based Systems (KB4467106)","http://support.microsoft.com/help/4467106","","Security Updates Windows 7"
"4462915","","4462915","False","4","Critical","2018-10 Security Only Quality Update for Windows 7 for x64-based Systems (KB4462915)","http://support.microsoft.com/help/4462915","","Security Updates Windows 7"
"MS15-101","MS15-101","3074543","False","3","Important","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB3074543)","http://support.microsoft.com/kb/3074543","","Security Updates Windows 7"
"MS12-054","MS12-054","2705219","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2705219)","http://go.microsoft.com/fwlink/?LinkId=257914","","Security Updates Windows 7"
"MS14-043","MS14-043","2978742","False","4","Critical","Security Update for Windows 7 for x64-based Systems (KB2978742)","http://support.microsoft.com/kb/2978742","","Security Updates Windows 7"
"MS11-015","MS11-015","2479943","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2479943)","http://go.microsoft.com/fwlink/?LinkId=207841","","Security Updates Windows 7"
"MS12-004","MS12-004","2631813","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2631813)","http://go.microsoft.com/fwlink/?LinkId=227487","","Security Updates Windows 7"
"MS14-046","MS14-046","2943357","False","3","Important","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2943357)","http://support.microsoft.com/kb/2943357","","Security Updates Windows 7"
"MS14-026","MS14-026","2931356","False","3","Important","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2931356)","http://support.microsoft.com/kb/2931356","","Security Updates Windows 7"
"2841134","","2841134","False","0",,"Internet Explorer 11 for Windows 7 for x64-based Systems","http://go.microsoft.com/fwlink/?LinkID=329031","","Update Rollups Windows 7"
"MS14-046","MS14-046","2937610","False","3","Important","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2937610)","http://support.microsoft.com/kb/2937610","","Security Updates Windows 7"
"MS14-039","MS14-039","2973201","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB2973201)","http://support.microsoft.com/kb/2973201","","Security Updates Windows 7"
"MS12-081","MS12-081","2758857","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2758857)","http://go.microsoft.com/fwlink/?LinkId=266541","","Security Updates Windows 7"
"MS12-045","MS12-045","2698365","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2698365)","http://go.microsoft.com/fwlink/?LinkId=254441","","Security Updates Windows 7"
"MS11-024","MS11-024","2506212","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2506212)","http://go.microsoft.com/fwlink/?LinkId=212226","","Security Updates Windows 7"
"MS12-020","MS12-020","2621440","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2621440)","http://go.microsoft.com/fwlink/?LinkId=232664","","Security Updates Windows 7"
"MS11-076","MS11-076","2579686","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2579686)","http://go.microsoft.com/fwlink/?LinkId=227073","","Security Updates Windows 7"
"MS12-036","MS12-036","2685939","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2685939)","http://go.microsoft.com/fwlink/?LinkId=246927","","Security Updates Windows 7"
"MS11-024","MS11-024","2491683","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2491683)","http://go.microsoft.com/fwlink/?LinkId=212226","","Security Updates Windows 7"
"MS12-024","MS12-024","2653956","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2653956)","http://go.microsoft.com/fwlink/?LinkId=238623","","Security Updates Windows 7"
"MS12-020","MS12-020","2667402","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2667402)","http://go.microsoft.com/fwlink/?LinkId=232664","","Security Updates Windows 7"
"MS12-082","MS12-082","2770660","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2770660)","http://go.microsoft.com/fwlink/?LinkId=271751","","Security Updates Windows 7"
"MS00-000","MS00-000","2813430","False","2","Moderate","Security Update for Windows 7 for x64-based Systems (KB2813430)","http://go.microsoft.com/fwlink/?LinkID=302334","","Security Updates Windows 7"
"MS13-015","MS13-015","2789645","False","3","Important","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2789645)","http://go.microsoft.com/fwlink/?LinkID=273908","","Security Updates Windows 7"
"MS13-052","MS13-052","2840631","False","3","Important","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2840631)","http://go.microsoft.com/fwlink/?LinkId=304153","","Security Updates Windows 7"
"MS13-058","MS13-058","2847927","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB2847927)","http://go.microsoft.com/fwlink/?LinkId=308992","","Security Updates Windows 7"
"MS13-007","MS13-007","2736422","False","3","Important","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2736422)","http://go.microsoft.com/fwlink/?LinkId=262698","","Security Updates Windows 7"
"MS12-035","MS12-035","2604115","False","4","Critical","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2604115)","http://go.microsoft.com/fwlink/?LinkID=226971","","Security Updates Windows 7"
"MS11-100","MS11-100","2656356","False","4","Critical","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2656356)","http://go.microsoft.com/fwlink/?LinkID=237378","","Security Updates Windows 7"
"MS13-004","MS13-004","2742599","False","3","Important","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2742599)","http://go.microsoft.com/fwlink/?LinkID=261909","","Security Updates Windows 7"
"MS12-074","MS12-074","2729452","False","4","Critical","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2729452)","http://go.microsoft.com/fwlink/?LinkID=248034","","Security Updates Windows 7"
"MS13-081","MS13-081","2868038","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB2868038)","http://support.microsoft.com/kb/2868038","","Security Updates Windows 7"
"MS13-081","MS13-081","2862330","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB2862330)","http://support.microsoft.com/kb/2862330","","Security Updates Windows 7"
"MS13-098","MS13-098","2893294","False","4","Critical","Security Update for Windows 7 for x64-based Systems (KB2893294)","http://support.microsoft.com/kb/2893294","","Security Updates Windows 7"
"2871997","","2871997","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2871997)","http://support.microsoft.com/kb/2871997","","Security Updates Windows 7"
"MS14-009","MS14-009","2911501","False","3","Important","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2911501)","http://support.microsoft.com/kb/2911501","","Security Updates Windows 7"
"MS13-090","MS13-090","2900986","False","4","Critical","Cumulative Security Update for ActiveX Killbits for Windows 7 for x64-based Systems (KB2900986)","http://support.microsoft.com/kb/2900986","","Security Updates Windows 7"
"MS13-082","MS13-082","2861698","False","3","Important","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2861698)","http://support.microsoft.com/kb/2861698","","Security Updates Windows 7"
"MS13-081","MS13-081","2864202","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB2864202)","http://support.microsoft.com/kb/2864202","","Security Updates Windows 7"
"MS13-081","MS13-081","2884256","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB2884256)","http://support.microsoft.com/kb/2884256","","Security Updates Windows 7"
"MS13-081","MS13-081","2862335","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB2862335)","http://support.microsoft.com/kb/2862335","","Security Updates Windows 7"
"MS11-053","MS11-053","2532531","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2532531)","http://go.microsoft.com/fwlink/?LinkId=217102","","Security Updates Windows 7"
"MS15-029","MS15-029","3035126","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3035126)","http://support.microsoft.com/kb/3035126","","Security Updates Windows 7"
"MS15-028","MS15-028","3030377","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3030377)","http://support.microsoft.com/kb/3030377","","Security Updates Windows 7"
"MS15-038","MS15-038","3045685","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3045685)","http://support.microsoft.com/kb/3045685","","Security Updates Windows 7"
"MS15-037","MS15-037","3046269","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3046269)","http://support.microsoft.com/kb/3046269","","Security Updates Windows 7"
"MS15-011","MS15-011","3000483","False","4","Critical","Security Update for Windows 7 for x64-based Systems (KB3000483)","http://support.microsoft.com/kb/3000483","","Security Updates Windows 7"
"MS15-004","MS15-004","3019978","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3019978)","http://support.microsoft.com/kb/3019978","","Security Updates Windows 7"
"MS14-068","MS14-068","3011780","False","0",,"Security Update for Windows 7 for x64-based Systems (KB3011780)","http://support.microsoft.com/kb/3011780","","Security Updates Windows 7"
"3004375","","3004375","False","0",,"Security Update for Windows 7 for x64-based Systems (KB3004375)","http://support.microsoft.com/kb/3004375","","Security Updates Windows 7"
"MS15-003","MS15-003","3021674","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3021674)","http://support.microsoft.com/kb/3021674","","Security Updates Windows 7"
"MS15-041","MS15-041","3037574","False","3","Important","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB3037574)","http://support.microsoft.com/kb/3037574","","Security Updates Windows 7"
"MS15-090","MS15-090","3060716","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3060716)","http://support.microsoft.com/kb/3060716","","Security Updates Windows 7"
"MS15-088","MS15-088","3046017","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3046017)","http://support.microsoft.com/kb/3046017","","Security Updates Windows 7"
"MS15-082","MS15-082","3075220","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3075220)","http://support.microsoft.com/kb/3075220","","Security Updates Windows 7"
"MS15-085","MS15-085","3071756","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3071756)","http://support.microsoft.com/kb/3071756","","Security Updates Windows 7"
"MS15-069","MS15-069","3067903","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3067903)","http://support.microsoft.com/kb/3067903","","Security Updates Windows 7"
"MS15-048","MS15-048","3023215","False","3","Important","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB3023215)","http://support.microsoft.com/kb/3023215","","Security Updates Windows 7"
"MS15-050","MS15-050","3055642","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3055642)","http://support.microsoft.com/kb/3055642","","Security Updates Windows 7"
